iter	RMSE
0	110531.2124
1	109007.7839
2	107556.6129
3	106209.312
4	104835.0796
5	103683.89
6	102561.908
7	101497.2532
8	100479.8294
9	99537.07544
10	98612.6427
11	97780.72506
12	97030.89784
13	96158.16084
14	95319.72649
15	94459.41011
16	93735.9319
17	92924.29257
18	92121.32532
19	91389.58893
20	90563.89691
21	89914.61351
22	89338.621
23	88856.73446
24	88285.94231
25	87847.57913
26	87272.16208
27	86775.69013
28	86247.58802
29	85651.71958
30	85128.74298
31	84679.9115
32	84187.92048
33	83700.99403
34	83402.56154
35	83024.3474
36	82622.62639
37	82308.31023
38	82046.22605
39	81732.32962
40	81337.82193
41	81006.09157
42	80647.49211
43	80297.66831
44	80002.33173
45	79755.74093
46	79432.91947
47	79134.42824
48	78855.04013
49	78508.25966
50	78236.57173
51	78010.28314
52	77746.58986
53	77498.74933
54	77250.53601
55	76991.16119
56	76792.72012
57	76552.51208
58	76312.87946
59	76009.24179
60	75787.25793
61	75519.77023
62	75260.62929
63	75056.1506
64	74828.96957
65	74587.94222
66	74359.95777
67	74192.0872
68	73963.82957
69	73755.76828
70	73574.30192
71	73352.29284
72	73126.56996
73	73006.28918
74	72823.10206
75	72643.52988
76	72471.18092
77	72311.79667
78	72116.06366
79	71975.33942
80	71808.67466
81	71665.19185
82	71483.83839
83	71274.43774
84	71089.95269
85	70908.71913
86	70762.69677
87	70609.18671
88	70475.91569
89	70304.12293
90	70191.9602
91	70065.49846
92	69962.53549
93	69829.56656
94	69659.28163
95	69529.89357
96	69372.09
97	69214.1061
98	69097.19724
99	68951.71434
100	68804.95894
101	68692.70619
102	68540.70058
103	68437.21266
104	68298.9758
105	68195.51567
106	68078.35951
107	67952.92649
108	67813.84848
109	67653.22238
110	67560.71892
111	67435.24271
112	67324.29345
113	67198.15001
114	67107.63757
115	67004.91481
116	66906.90051
117	66795.00728
118	66719.32598
119	66625.90185
120	66525.00422
121	66450.70119
122	66362.65871
123	66223.26921
124	66123.81341
125	66050.07989
126	65919.76403
127	65831.58148
128	65736.90042
129	65607.99991
130	65524.17715
131	65450.41484
132	65352.04882
133	65254.93217
134	65126.43072
135	64994.20491
136	64897.42921
137	64801.98773
138	64711.55405
139	64616.54564
140	64520.98926
141	64432.92885
142	64344.35757
143	64230.62721
144	64145.4478
145	64062.96758
146	63952.84073
147	63881.16656
148	63793.03362
149	63711.63948
150	63624.08841
151	63539.30603
152	63460.48359
153	63379.314
154	63283.79284
155	63193.89628
156	63127.30036
157	63052.69807
158	62965.3692
159	62893.46768
160	62815.31545
161	62747.2682
162	62677.60352
163	62591.11865
164	62520.14735
165	62436.08534
166	62365.76769
167	62300.49257
168	62210.63907
169	62156.57085
170	62091.96812
171	62018.69923
172	61941.77615
173	61892.71988
174	61817.32373
175	61727.9542
176	61640.25454
177	61579.34465
178	61495.14106
179	61419.9723
180	61345.86644
181	61272.03201
182	61204.55223
183	61140.30869
184	61079.16202
185	61003.09842
186	60950.07222
187	60881.85615
188	60822.05703
189	60749.022
190	60676.52458
191	60615.64808
192	60538.3695
193	60485.89009
194	60421.38947
195	60338.66505
196	60281.61951
197	60213.98952
198	60146.44688
199	60079.24058
200	60023.03646
201	59954.10113
202	59890.12125
203	59832.41562
204	59754.04013
205	59708.26125
