iter	Passed	Remaining
0	3	10532
1	6	10201
2	10	10189
3	13	10077
4	16	10041
5	20	10015
6	23	10137
7	26	10000
8	30	10068
9	33	10117
10	36	10015
11	39	9957
12	42	9864
13	46	9837
14	49	9790
15	52	9770
16	55	9801
17	59	9858
18	62	9832
19	65	9814
20	69	9819
21	72	9813
22	76	9870
23	79	9829
24	82	9841
25	86	9844
26	89	9890
27	92	9863
28	96	9862
29	99	9861
30	102	9853
31	106	9842
32	109	9809
33	112	9811
34	116	9884
35	120	9916
36	124	9997
37	127	9974
38	130	9945
39	133	9912
40	137	9907
41	140	9864
42	142	9828
43	145	9806
44	148	9771
45	151	9745
46	154	9730
47	158	9722
48	161	9697
49	164	9710
50	167	9694
51	170	9680
52	173	9660
53	176	9631
54	179	9610
55	182	9587
56	185	9555
57	188	9539
58	190	9509
59	193	9486
60	196	9491
61	199	9470
62	202	9450
63	205	9429
64	208	9414
65	211	9398
66	214	9386
67	217	9364
68	220	9345
69	222	9329
70	225	9312
71	228	9298
72	231	9282
73	234	9258
74	236	9239
75	239	9220
76	242	9206
77	245	9195
78	248	9179
79	251	9162
80	254	9158
81	257	9147
82	259	9132
83	262	9125
84	265	9114
85	268	9107
86	271	9097
87	274	9086
88	277	9076
89	280	9068
90	283	9057
91	286	9044
92	288	9026
93	291	9009
94	294	9017
95	297	9002
96	300	8992
97	303	8991
98	306	8987
99	309	8981
100	312	8976
101	315	8967
102	318	8965
103	321	8952
104	324	8943
105	327	8937
106	330	8927
107	333	8917
108	336	8917
109	339	8910
110	341	8898
111	344	8886
112	347	8873
113	350	8866
114	353	8857
115	355	8847
116	358	8837
117	361	8834
118	364	8828
119	367	8820
120	370	8814
121	373	8800
122	376	8798
123	379	8808
124	382	8803
125	385	8795
126	388	8796
127	391	8792
128	395	8791
129	397	8785
130	400	8779
131	403	8773
132	406	8766
133	410	8774
134	413	8773
135	416	8767
136	419	8759
137	421	8751
138	424	8745
139	427	8740
140	430	8731
141	433	8727
142	436	8718
143	439	8711
144	442	8705
145	444	8696
146	447	8689
147	450	8684
148	453	8680
149	456	8671
150	459	8663
151	462	8657
152	464	8650
153	467	8646
154	470	8643
155	473	8636
156	476	8634
157	479	8624
158	482	8621
159	485	8611
160	488	8606
161	491	8607
