iter	RMSE
0	110391.1709
1	108843.5943
2	107484.4254
3	106084.4154
4	104800.9941
5	103586.4378
6	102449.7887
7	101418.0276
8	100487.1669
9	99545.15903
10	98629.72935
11	97607.89777
12	96809.67586
13	95914.83365
14	95208.59595
15	94330.73154
16	93582.43566
17	92952.21972
18	92159.74231
19	91465.08117
20	90861.37048
21	90224.28962
22	89567.44905
23	88941.06047
24	88301.09366
25	87740.80614
26	87137.01883
27	86657.34342
28	86234.69005
29	85718.58365
30	85322.98718
31	84824.55868
32	84417.71915
33	84093.66456
34	83621.21364
35	83102.86769
36	82779.01653
37	82384.33851
38	81910.04848
39	81652.61721
40	81384.45693
41	81077.032
42	80770.77671
43	80446.39356
44	80096.77301
45	79775.30031
46	79502.69698
47	79132.66177
48	78873.38541
49	78639.74451
50	78351.06025
51	78027.37432
52	77701.71156
53	77381.55592
54	77137.70445
55	76857.8895
56	76582.53513
57	76372.72306
58	76159.47148
59	75943.69931
60	75763.99037
61	75527.78292
62	75311.74676
63	75105.77283
64	74911.79524
65	74681.54177
66	74471.16738
67	74261.0342
68	74094.73496
69	73883.40467
70	73606.76257
71	73428.1963
72	73242.56607
73	73078.37648
74	72853.24572
75	72720.81007
76	72535.75379
77	72370.10822
78	72221.79732
79	72102.25799
80	71933.89559
81	71764.53508
82	71643.57514
83	71463.54509
84	71261.48798
85	71107.50613
86	70968.00313
87	70818.88682
88	70634.06387
89	70492.28253
90	70331.02506
91	70190.87063
92	70028.12923
93	69892.24213
94	69744.65665
95	69633.63786
96	69471.82857
97	69356.6108
98	69240.15792
99	69105.88748
100	68981.08968
101	68863.15899
102	68727.69475
103	68577.56584
104	68469.91139
105	68334.95555
106	68227.95035
107	68085.9867
108	67957.10655
109	67822.38407
110	67707.2424
111	67562.83612
112	67467.06633
113	67317.13034
114	67224.9805
115	67127.00219
116	67038.87378
117	66911.0908
118	66805.0604
119	66699.66976
120	66587.3481
121	66489.374
122	66372.15258
123	66271.76997
124	66169.96637
125	66062.64134
126	65935.69891
127	65860.12511
128	65762.25602
129	65659.91458
130	65561.9554
131	65485.06968
132	65347.47243
133	65275.96811
134	65185.15505
135	65113.32132
136	65032.05258
137	64957.24365
138	64881.0733
139	64762.87242
140	64671.30788
141	64572.0143
142	64494.14162
143	64399.01322
144	64321.8672
145	64232.62655
146	64132.64319
147	64057.30629
148	63974.84407
149	63877.16448
150	63798.06544
151	63725.60939
152	63627.5914
153	63528.55544
154	63439.70077
155	63340.58956
156	63268.52962
157	63172.80872
158	63073.95625
159	62992.66678
160	62909.07295
161	62843.76475
162	62738.81643
163	62665.23732
164	62581.15978
165	62491.2926
166	62398.91441
167	62326.53757
168	62270.54418
169	62184.57253
170	62128.26322
171	62064.78607
172	62004.96321
173	61942.44138
174	61855.2568
175	61785.87438
176	61696.2863
177	61622.49072
178	61541.48698
179	61465.3989
180	61382.89336
181	61316.94549
182	61268.70446
183	61200.00521
184	61107.82712
185	61052.37344
186	60983.11128
187	60913.10772
188	60838.8258
189	60776.51036
190	60714.21121
191	60631.39564
192	60566.95244
193	60507.3288
194	60450.48412
195	60380.3409
196	60337.46997
197	60262.216
198	60186.1853
199	60134.50309
200	60080.03798
201	60019.11526
202	59937.96966
203	59881.15391
204	59810.38472
205	59750.63974
206	59693.22993
207	59642.04597
208	59576.34473
209	59495.78518
210	59434.43397
211	59366.77826
212	59316.84087
213	59241.40826
214	59173.79189
215	59112.2644
216	59065.58144
217	59000.4528
218	58941.01964
219	58875.88701
220	58827.42061
221	58775.18436
222	58702.69828
223	58656.23684
224	58601.84816
225	58530.28015
226	58469.82052
227	58415.86558
228	58367.52993
229	58312.02404
230	58245.40927
231	58185.43271
232	58129.76394
233	58055.02007
234	57992.27963
235	57931.0735
236	57873.44332
237	57822.46146
238	57768.93893
239	57700.67558
240	57646.8487
241	57597.75127
242	57532.63214
243	57475.76264
244	57423.16617
245	57374.15156
246	57321.27849
247	57260.93285
248	57215.36825
249	57163.46905
250	57101.70232
251	57032.12418
252	56980.06155
253	56933.08691
254	56883.15893
255	56831.12517
256	56777.05972
257	56723.93438
258	56656.65121
259	56605.25179
260	56546.7718
261	56497.3022
262	56444.99816
263	56391.12788
264	56340.48913
265	56286.45763
266	56241.89368
267	56187.06261
268	56121.1064
269	56072.36049
270	56013.74235
271	55968.01103
272	55927.34685
273	55887.57006
274	55846.86746
275	55807.25896
276	55754.38728
277	55702.95973
278	55657.75639
279	55597.16332
280	55559.59328
281	55506.64096
282	55462.11699
283	55418.93508
284	55380.98763
285	55335.60961
286	55292.9959
287	55247.95904
288	55197.94363
289	55156.94616
290	55120.9767
291	55070.87253
292	55026.62894
293	54977.51239
294	54945.3281
295	54884.93936
296	54848.40991
297	54793.72304
298	54753.53725
299	54715.86093
300	54676.07377
301	54630.01425
302	54587.37705
303	54541.29876
304	54494.58776
305	54453.42403
306	54408.76052
307	54361.02376
308	54313.83519
309	54272.95089
310	54226.19447
311	54180.40681
312	54143.92229
313	54098.39533
314	54059.79815
315	54013.8356
316	53964.47038
317	53913.91366
318	53878.65278
319	53844.65339
320	53800.74026
321	53762.30765
322	53727.98057
323	53681.81651
324	53648.76725
325	53608.06205
326	53578.12541
327	53532.59282
328	53496.39825
329	53459.17025
330	53426.98266
331	53385.42959
332	53344.49194
333	53297.49252
334	53259.8358
335	53228.67616
336	53193.80511
337	53157.79591
338	53112.37492
339	53082.60041
340	53047.89959
341	53006.33838
342	52970.02627
343	52930.5412
344	52881.76246
345	52840.2481
346	52802.20548
347	52768.28276
348	52732.23728
349	52694.15217
350	52661.32826
351	52626.90836
352	52596.04242
353	52553.02561
354	52526.97875
355	52484.26326
356	52453.74721
357	52415.58983
358	52380.33814
359	52340.2535
360	52301.75685
361	52266.46111
362	52227.24741
363	52192.56606
364	52154.87435
365	52111.3356
366	52078.64402
367	52046.59952
368	52018.74761
369	51984.18328
370	51955.20457
371	51922.23356
372	51896.24809
373	51866.6263
374	51822.84879
375	51779.59988
376	51739.62371
377	51705.44522
378	51670.73713
379	51634.88901
380	51611.88046
381	51580.65945
382	51546.27512
383	51514.13298
384	51483.73487
385	51441.75175
386	51416.31466
387	51381.69302
388	51346.71325
389	51316.53601
390	51289.80546
391	51255.85957
392	51219.55146
393	51181.04992
394	51149.8648
395	51122.64746
396	51094.07545
397	51064.16723
398	51036.21387
399	51004.0552
400	50972.98762
401	50939.641
402	50911.07644
403	50878.53903
404	50849.26477
405	50823.14046
406	50793.5398
407	50764.5847
408	50735.22463
409	50702.84852
410	50672.36687
411	50647.10487
412	50614.25039
413	50579.8959
414	50550.11385
415	50516.28321
416	50480.93727
417	50454.81282
418	50428.09437
419	50402.08387
420	50376.92304
