iter	Passed	Remaining
0	5	23780
1	11	22423
2	15	20955
3	20	20815
4	26	20843
5	31	20780
6	35	20459
7	41	20554
8	46	20578
9	50	20337
10	54	19777
11	59	19623
12	63	19348
13	67	19304
14	71	19084
15	76	19004
16	80	18977
17	85	18805
18	89	18692
19	93	18654
20	97	18445
21	102	18570
22	107	18519
23	110	18301
24	115	18343
25	120	18433
26	125	18443
27	129	18339
28	134	18355
29	137	18245
30	142	18227
31	146	18110
32	149	18007
33	153	17926
34	157	17824
35	161	17778
36	220	23575
37	224	23441
38	228	23252
39	240	23843
40	244	23595
41	249	23493
42	253	23345
43	258	23243
44	261	23023
45	266	22903
46	270	22739
47	274	22577
48	278	22432
49	281	22253
50	286	22153
51	289	21994
52	294	21902
53	298	21799
54	302	21663
55	306	21570
56	309	21418
57	314	21343
58	317	21221
59	321	21108
60	325	21019
61	329	20911
62	333	20843
63	336	20714
64	341	20647
65	345	20578
66	348	20478
67	353	20418
68	356	20309
69	360	20257
70	364	20149
71	368	20105
72	372	20036
73	375	19943
74	380	19891
75	383	19801
76	387	19758
77	391	19668
78	395	19616
79	398	19532
80	402	19488
81	407	19457
82	411	19410
83	415	19388
84	420	19361
85	424	19301
86	428	19262
87	431	19195
88	436	19174
89	440	19123
90	444	19086
91	448	19054
92	451	18982
93	456	18957
94	459	18899
95	463	18855
96	468	18841
97	471	18793
98	476	18769
99	479	18699
100	483	18677
101	487	18633
102	491	18594
103	495	18568
104	499	18514
105	503	18494
106	506	18429
107	511	18415
108	515	18387
109	518	18347
110	522	18320
111	526	18279
112	530	18262
113	534	18216
114	538	18181
115	542	18150
116	545	18108
117	549	18091
118	553	18055
119	557	18041
120	561	17995
121	565	17977
122	569	17952
123	573	17918
124	577	17890
125	580	17852
126	585	17856
127	589	17843
128	593	17811
129	598	17802
130	601	17758
131	605	17745
132	608	17706
133	612	17685
134	616	17664
135	620	17639
136	625	17644
137	628	17597
138	633	17583
139	637	17563
140	640	17534
141	644	17523
142	648	17486
143	652	17482
144	655	17440
145	660	17434
146	664	17416
147	668	17386
148	672	17369
149	675	17342
150	680	17341
151	683	17295
152	687	17287
153	691	17264
154	695	17243
155	699	17237
156	703	17212
157	707	17207
158	711	17196
159	715	17168
160	719	17152
161	722	17125
162	727	17123
163	730	17089
164	734	17082
165	738	17051
166	742	17050
167	747	17045
168	750	17019
169	755	17013
170	758	16985
171	762	16976
172	766	16955
173	769	16929
174	774	16923
175	777	16897
176	782	16894
177	785	16863
178	789	16862
179	794	16853
180	798	16838
181	802	16842
182	806	16828
183	810	16810
184	814	16798
185	818	16777
186	822	16775
187	825	16747
188	830	16743
189	834	16727
190	838	16714
191	842	16714
192	846	16691
193	850	16689
194	855	16689
195	859	16673
196	863	16661
197	866	16643
198	871	16645
199	875	16641
200	880	16636
201	884	16635
202	889	16633
203	892	16611
204	896	16605
205	900	16585
206	905	16583
207	908	16562
208	912	16546
209	916	16540
210	920	16521
211	924	16515
212	927	16491
213	932	16492
214	936	16485
215	940	16469
216	944	16460
217	948	16447
218	952	16444
219	956	16434
220	960	16419
221	964	16409
222	967	16393
223	972	16393
224	975	16374
225	980	16366
226	984	16355
227	987	16342
228	991	16332
229	995	16317
230	999	16313
231	1003	16299
232	1007	16283
233	1012	16291
234	1015	16268
235	1019	16265
236	1022	16242
237	1027	16239
238	1030	16221
239	1035	16223
240	1040	16221
241	1044	16213
242	1047	16200
243	1051	16192
244	1056	16194
245	1060	16183
246	1064	16168
247	1068	16166
248	1073	16165
249	1076	16150
250	1081	16147
251	1084	16127
252	1088	16116
253	1091	16092
254	1096	16107
255	1101	16105
256	1104	16087
257	1108	16075
258	1111	16055
259	1115	16046
260	1119	16032
261	1123	16030
262	1127	16022
263	1131	16010
264	1135	16005
265	1138	15983
266	1142	15972
267	1145	15950
268	1149	15943
269	1152	15921
270	1156	15913
271	1159	15892
272	1163	15880
273	1166	15867
274	1170	15854
275	1174	15841
276	1177	15823
277	1180	15809
278	1184	15795
279	1189	15797
280	1192	15787
281	1197	15784
282	1201	15783
283	1205	15776
284	1209	15770
285	1213	15755
286	1217	15751
287	1221	15746
288	1225	15741
289	1230	15739
290	1234	15739
291	1238	15727
292	1242	15720
293	1246	15708
294	1250	15707
295	1254	15692
296	1258	15685
297	1261	15676
298	1265	15667
299	1269	15659
300	1273	15646
301	1277	15641
302	1282	15642
303	1285	15633
304	1290	15628
305	1293	15617
306	1298	15615
307	1301	15597
308	1305	15598
309	1310	15594
310	1314	15591
311	1319	15591
312	1323	15590
313	1327	15579
314	1331	15576
315	1335	15564
316	1339	15562
317	1343	15551
318	1346	15543
319	1351	15545
320	1355	15530
321	1359	15528
322	1362	15514
323	1367	15510
324	1370	15501
325	1374	15491
326	1378	15487
327	1383	15484
328	1387	15483
329	1391	15479
330	1395	15470
331	1400	15468
332	1403	15452
333	1407	15452
334	1412	15447
335	1415	15439
336	1420	15436
337	1424	15430
338	1428	15426
339	1432	15424
340	1437	15426
341	1441	15417
342	1445	15416
343	1449	15403
344	1453	15395
345	1457	15389
346	1461	15382
347	1465	15374
348	1469	15377
349	1473	15371
350	1479	15376
351	1536	15927
352	1542	15940
353	1547	15939
354	1559	16008
355	1563	16008
356	1567	15997
357	1572	15993
358	1576	15984
359	1579	15975
360	1584	15970
361	1587	15957
362	1592	15957
363	1597	15953
364	1601	15949
365	1605	15941
366	1609	15934
367	1613	15921
368	1617	15915
369	1621	15903
370	1625	15896
371	1628	15884
372	1632	15879
373	1636	15867
374	1640	15861
375	1645	15856
376	1648	15845
377	1653	15840
378	1656	15825
379	1660	15820
380	1664	15809
381	1668	15799
382	1672	15793
383	1676	15782
384	1680	15777
385	1683	15764
386	1687	15755
387	1691	15748
388	1695	15738
389	1699	15731
390	1703	15719
391	1707	15715
392	1710	15700
393	1714	15695
394	1718	15686
395	1722	15676
396	1726	15669
